field,raw,count,auto_matched,score,canonical,review,evidence
Decisão,NÃO SE TOMA CONHECIMENTO DO OBJECTO DO RECURSO.,7,0,0.26,Não conhecer,0,rule
Decisão,PROCEDÊNCIA/ DECRETAMENTO TOTAL.,7,0,0.35,Conceder provimento,0,rule
Decisão,PROVIDO O AGRAVO,7,0,0.32,Conceder provimento,0,rule
Decisão,PROVIDO. ALTERADA A DECISÃO.,7,0,0.26,Conceder provimento,1,rule:multi-part
Decisão,REJEITADA A RECLAMAÇÃO,7,0,0.41,Rejeitar,0,rule
Decisão,REJEITADO O RECURSO. NEGADO PROVIMENTO.,7,0,0.39,Rejeitar,1,rule:multi-part
Decisão,REJEITADO.,7,0,0.78,Rejeitar,0,rule
Decisão,Rejeitado o Recurso,7,0,0.42,Rejeitar,0,rule
Decisão,SUSPENSÃO DA INSTANCIA.,7,0,0.82,Suspender a instância,0,rule
Decisão,UNIFORMIZADA A JURISPRUDÊNCIA,7,0,0.62,Fixar jurisprudência,0,rule
Decisão,ALTERADA A INDEMNIZAÇÃO.,6,0,0.35,Sem informação,0,rule
Decisão,ANULADO O ACÓRDÃO RECORRIDO.,6,0,0.33,Anular,0,rule
Decisão,ATENDIDA A QUESTÃO PRÉVIA. DECIDIDO NÃO TOMAR CONHECIMENTO.,6,0,0.33,Não conhecer,1,rule:multi-part
Decisão,CONCEDIDA A REVISTA. ANULADA A DECISÃO.,6,0,0.34,Conceder provimento,1,rule:multi-part
Decisão,CONCEDIDA A REVISTA. CONCEDIDA PARCIALMENTE A REVISTA.,6,0,0.45,Conceder provimento parcialmente,1,rule:multi-part
Decisão,CONCEDIDA A REVISÃO,6,0,0.47,Conceder provimento,0,rule
Decisão,CONCEDIDO PROVIMENTO AO RECURSO,6,0,0.56,Conceder provimento,0,rule
Decisão,CONCEDIDO PROVIMENTO AO RECURSO.,6,0,0.56,Conceder provimento,0,rule
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO DO RECURSO.,6,0,0.31,Não conhecer,0,rule
Decisão,DEFERIDO O PEDIDO DE ESCUSA.,6,0,0.30,Deferir,0,rule
Decisão,INDEFERIDA A PROVIDÊNCIA.,6,0,0.46,Indeferir,0,rule
Decisão,INDEFERIDO O PEDIDO DE ACLARAÇÃO,6,0,0.28,Indeferir,0,rule
Decisão,INDEFERIR A PROVIDÊNCIA DE HABEAS CORPUS,6,0,0.32,Indeferir,0,rule
Decisão,JULGADO IMPROCEDENTE.,6,0,0.45,Negar provimento,0,rule
Decisão,JULGADO PARCIALMENTE PROCEDENTE O RECURSO,6,0,0.29,Conceder provimento parcialmente,0,rule
